|id   |provider      |sport_code|entity  |provider_league_id|season   |status |attempts|priority|run_group|updated_at                   |
|-----|--------------|----------|--------|------------------|---------|-------|--------|--------|---------|-----------------------------|
|1,096|api_hockey    |HK        |coaches |146               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,102|api_hockey    |HK        |coaches |224               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,108|api_hockey    |HK        |coaches |214               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,114|api_hockey    |HK        |coaches |236               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,120|api_hockey    |HK        |coaches |110               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,126|api_hockey    |HK        |coaches |142               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,132|api_hockey    |HK        |coaches |265               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,138|api_hockey    |HK        |coaches |173               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,144|api_hockey    |HK        |coaches |59                |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,150|api_hockey    |HK        |coaches |63                |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,156|api_hockey    |HK        |coaches |230               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,162|api_hockey    |HK        |coaches |101               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,168|api_hockey    |HK        |coaches |37                |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,174|api_hockey    |HK        |coaches |242               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,180|api_hockey    |HK        |coaches |141               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,186|api_hockey    |HK        |coaches |257               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,192|api_hockey    |HK        |coaches |207               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,198|api_hockey    |HK        |coaches |6                 |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,204|api_hockey    |HK        |coaches |14                |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,210|api_hockey    |HK        |coaches |149               |         |pending|0       |2,060   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,141|api_hockey    |HK        |fixtures|59                |         |pending|0       |1,010   |HK_TOP   |2026-03-25 15:34:27.660 +0100|
|1,105|api_hockey    |HK        |fixtures|214               |         |done   |1       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,123|api_hockey    |HK        |fixtures|142               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,129|api_hockey    |HK        |fixtures|265               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,135|api_hockey    |HK        |fixtures|173               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,147|api_hockey    |HK        |fixtures|63                |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,153|api_hockey    |HK        |fixtures|230               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,165|api_hockey    |HK        |fixtures|37                |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,171|api_hockey    |HK        |fixtures|242               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,177|api_hockey    |HK        |fixtures|141               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,183|api_hockey    |HK        |fixtures|257               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,189|api_hockey    |HK        |fixtures|207               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,201|api_hockey    |HK        |fixtures|14                |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,207|api_hockey    |HK        |fixtures|149               |         |pending|0       |2,030   |HK_TOP   |2026-03-25 19:18:32.786 +0100|
|1,093|api_hockey    |HK        |fixtures|146               |         |done   |1       |5,000   |HK_TOP   |2026-03-25 15:34:27.650 +0100|
|1,099|api_hockey    |HK        |fixtures|224               |         |done   |1       |5,000   |HK_TOP   |2026-03-25 15:34:27.650 +0100|
|1,111|api_hockey    |HK        |fixtures|236               |         |done   |1       |5,000   |HK_TOP   |2026-03-25 15:34:27.650 +0100|
|1,117|api_hockey    |HK        |fixtures|110               |         |pending|0       |5,000   |HK_TOP   |2026-03-25 15:34:27.650 +0100|
|1,159|api_hockey    |HK        |fixtures|101               |         |pending|0       |5,000   |HK_TOP   |2026-03-25 15:34:27.650 +0100|
|1,195|api_hockey    |HK        |fixtures|6                 |         |done   |1       |5,000   |HK_TOP   |2026-03-25 15:34:27.650 +0100|
|1,011|api_hockey    |HK        |leagues |                  |         |done   |1       |10      |         |2026-03-22 09:35:41.065 +0100|
|1,091|api_hockey    |HK        |leagues |146               |         |error  |1       |2,010   |HK_TOP   |2026-03-21 15:18:30.204 +0100|
|1,097|api_hockey    |HK        |leagues |224               |         |error  |1       |2,010   |HK_TOP   |2026-03-22 00:10:24.586 +0100|
|1,103|api_hockey    |HK        |leagues |214               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,109|api_hockey    |HK        |leagues |236               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,115|api_hockey    |HK        |leagues |110               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,121|api_hockey    |HK        |leagues |142               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,127|api_hockey    |HK        |leagues |265               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,133|api_hockey    |HK        |leagues |173               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,139|api_hockey    |HK        |leagues |59                |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,145|api_hockey    |HK        |leagues |63                |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,151|api_hockey    |HK        |leagues |230               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,157|api_hockey    |HK        |leagues |101               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,163|api_hockey    |HK        |leagues |37                |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,169|api_hockey    |HK        |leagues |242               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,175|api_hockey    |HK        |leagues |141               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
|1,181|api_hockey    |HK        |leagues |257               |         |pending|0       |2,010   |HK_TOP   |2026-03-21 15:17:24.251 +0100|
