|id |run_id|ticket_index|created_at                   |settled_at|source_system|ticket_size|total_odd|stake|possible_win|probability|is_hit|profit_amount|roi_percent|
|---|------|------------|-----------------------------|----------|-------------|-----------|---------|-----|------------|-----------|------|-------------|-----------|
|737|104   |9           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |9.4848   |     |            |0.0163     |      |             |           |
|736|104   |8           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |8.8464   |     |            |0.0171     |      |             |           |
|735|104   |7           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |9.5472   |     |            |0.0174     |      |             |           |
|734|104   |6           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |8.9046   |     |            |0.0183     |      |             |           |
|733|104   |5           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |8.664    |     |            |0.0183     |      |             |           |
|732|104   |4           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |8.6424   |     |            |0.0194     |      |             |           |
|731|104   |3           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |8.721    |     |            |0.0195     |      |             |           |
|730|104   |2           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |8.0607   |     |            |0.0204     |      |             |           |
|729|104   |1           |2026-03-31 16:22:37.682 +0200|          |ticket_studio|2          |7.8945   |     |            |0.0218     |      |             |           |
|728|101   |9           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |9.4848   |     |            |0.0182     |      |             |           |
|727|101   |8           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |8.8464   |     |            |0.0191     |      |             |           |
|726|101   |7           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |9.5472   |     |            |0.0194     |      |             |           |
|725|101   |6           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |8.9046   |     |            |0.0204     |      |             |           |
|724|101   |5           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |8.664    |     |            |0.0204     |      |             |           |
|723|101   |4           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |8.6424   |     |            |0.0217     |      |             |           |
|722|101   |3           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |8.721    |     |            |0.0218     |      |             |           |
|721|101   |2           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |8.0607   |     |            |0.0227     |      |             |           |
|720|101   |1           |2026-03-30 22:52:03.111 +0200|          |ticket_studio|2          |7.8945   |     |            |0.0243     |      |             |           |
|719|100   |9           |2026-03-30 22:09:28.861 +0200|          |ticket_studio|2          |91.1462  |     |            |0.0013     |      |             |           |
