change_type,category,relative_path,old_modified_at,new_modified_at,old_size_bytes,new_size_bytes
NEW,scripts,00_Schema\001_create_tables\013_create_table_article_translations.sql,,2026-03-06 11:24:25,,0
NEW,scripts,00_Schema\001_create_tables\014_create_table_league_translations.sql,,2026-03-06 11:24:22,,0
NEW,scripts,00_Schema\001_create_tables\015_create_table_team_translations.sql,,2026-03-06 11:32:52,,0
NEW,scripts,00_Schema\001_create_tables\016_create_table_player_translations.sql,,2026-03-06 11:34:23,,0
NEW,scripts,00_Schema\001_create_tables\017_create_table_translation_jobs.sql,,2026-03-06 11:36:46,,0
NEW,scripts,00_Schema\001_create_tables\018_create_table_translation_job_logs.sql,,2026-03-06 11:38:12,,0
NEW,scripts,00_Schema\001_create_tables\019_create_table_team_social_links.sql,,2026-03-06 11:41:57,,0
NEW,scripts,00_Schema\001_create_tables\020_create_table_stadiums.sql,,2026-03-06 11:50:22,,0
NEW,scripts,00_Schema\001_create_tables\021_create_table_team_stadiums.sql,,2026-03-06 11:51:21,,0
NEW,scripts,00_Schema\001_create_tables\022_create_table_match_events.sql,,2026-03-06 11:53:19,,529
NEW,scripts,00_Schema\001_create_tables\023_create_table_player_match_statistics.sql,,2026-03-06 11:58:28,,0
NEW,scripts,00_Schema\001_create_tables\024_create_table_team_match_statistics.sql,,2026-03-06 12:03:42,,0
NEW,scripts,00_Schema\001_create_tables\025_create_table_coaches.sql,,2026-03-06 11:59:54,,0
NEW,scripts,00_Schema\001_create_tables\026_create_table_team_coaches.sql,,2026-03-06 12:07:54,,0
NEW,scripts,00_Schema\001_create_tables\027_create_table_player_team_history.sql,,2026-03-06 12:08:39,,0
NEW,scripts,00_Schema\001_create_tables\028_create_table_match_officials.sq,,2026-03-06 12:09:22,,0
NEW,scripts,00_Schema\001_create_tables\029_create_table_team_transfers.sql,,2026-03-06 12:10:19,,0
NEW,scripts,00_Schema\001_create_tables\030_create_table_player_social_links.sql,,2026-03-06 12:11:12,,0
NEW,scripts,00_Schema\001_create_tables\031_create_table_competition_rounds.sql,,2026-03-06 12:12:03,,0
NEW,scripts,00_Schema\001_create_tables\032_create_table_match_weather.sql,,2026-03-06 12:12:39,,0
NEW,scripts,00_Schema\001_create_tables\033_create_table_users.sql,,2026-03-06 12:15:12,,0
NEW,scripts,00_Schema\001_create_tables\034_create_table_user_favorite_teams.sql,,2026-03-06 12:15:57,,0
NEW,scripts,00_Schema\001_create_tables\035_create_table_user_favorite_leagues.sql,,2026-03-06 12:16:51,,0
NEW,scripts,00_Schema\001_create_tables\036_create_table_user_favorite_players.sql,,2026-03-06 12:16:49,,0
NEW,scripts,00_Schema\001_create_tables\037_create_table_subscription_plans.sql,,2026-03-06 12:18:22,,0
NEW,scripts,00_Schema\001_create_tables\038_create_table_subscriptions.sql,,2026-03-06 12:20:20,,0
NEW,scripts,00_Schema\001_create_tables\039_create_table_user_notifications.sql,,2026-03-06 12:21:22,,0
NEW,scripts,00_Schema\001_create_tables\040_create_table_notification_queue.sql,,2026-03-06 12:22:42,,0
NEW,scripts,00_Schema\001_create_tables_tickets\041_create_table_tickets.sql,,2026-03-07 23:17:06,,0
NEW,scripts,00_Schema\001_create_tables_tickets\042_create_table_ticket_constants.sql,,2026-03-07 23:17:05,,0
NEW,scripts,00_Schema\001_create_tables_tickets\043_create_table_ticket_blocks.sql,,2026-03-07 23:17:03,,0
NEW,scripts,00_Schema\001_create_tables_tickets\044_create_table_ticket_block_matches.sql,,2026-03-07 23:17:01,,0
NEW,scripts,00_Schema\001_create_tables_tickets\045_create_table_ticket_variants.sql,,2026-03-07 23:16:59,,0
NEW,scripts,00_Schema\001_create_tables_tickets\046_create_table_ticket_variant_block_choices.sql,,2026-03-07 23:16:57,,0
NEW,scripts,00_Schema\001_create_tables_tickets\047_create_table_ticket_variant_matches.sql,,2026-03-07 23:24:04,,0
NEW,scripts,00_Schema\001_create_tables_tickets\048_create_table_ticket_settlements.sql,,2026-03-07 23:24:02,,0
NEW,scripts,00_Schema\001_create_tables_tickets\049_create_table_ticket_pattern_stats.sql,,2026-03-07 23:25:58,,0
NEW,scripts,00_Schema\001_create_tables_tickets\050_create_table_ticket_league_pattern_stats.sql,,2026-03-07 23:26:44,,0
NEW,scripts,00_Schema\001_create_tables_tickets\051_create_table_ticket_generation_runs.sql,,2026-03-07 23:27:43,,0
NEW,scripts,00_Schema\001_create_tables_tickets\052_create_table_ticket_variant_features.sql,,2026-03-07 23:28:34,,0
NEW,scripts,00_Schema\001_create_tables_tickets\053_create_table_ticket_recommendation_feedback.sql,,2026-03-07 23:28:32,,0
NEW,scripts,00_Schema\001_create_tables_tickets\054_create_mm_value_bets.sql,,2026-03-08 17:04:39,,0
NEW,scripts,00_Schema\001_create_tables_tickets\055_create_view_best_match_odds.sql,,2026-03-08 17:04:35,,0
NEW,scripts,00_Schema\001_create_tables_tickets\056_alter_mm_value_bets_add_unique_match.sql,,2026-03-08 17:17:09,,0
NEW,scripts,00_Schema\001_create_tables_tickets\057_view_ticket_candidate_matches.sql,,2026-03-08 17:27:21,,0
NEW,scripts,00_Schema\001_create_tables_tickets\058_view_match_feed_for_user.sql,,2026-03-08 17:35:18,,539
NEW,scripts,00_Schema\001_create_tables_tickets\059_create_ops_provider_jobs.sql,,2026-03-08 17:53:25,,0
NEW,scripts,00_Schema\001_create_tables_tickets\061_create_ops_provider_accounts.sql,,2026-03-08 19:29:20,,0
NEW,scripts,00_Schema\001_create_tables_tickets\063_create_ops_api_request_log.sql,,2026-03-08 19:33:02,,0
