|provider |sport_code|canonical_league_id|provider_league_id|season|run_group|enabled|tier|
|---------|----------|-------------------|------------------|------|---------|-------|----|
|api_sport|BK        |22,963             |326               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,964             |327               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,965             |320               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,966             |321               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,967             |322               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,968             |319               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,969             |323               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,970             |324               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,971             |325               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,972             |412               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,973             |328               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,974             |388               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,975             |18                |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,976             |206               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,977             |179               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,978             |180               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,979             |22                |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,980             |6                 |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,981             |306               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,982             |316               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,983             |424               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,984             |313               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,985             |312               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,986             |311               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,987             |300               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,988             |314               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,989             |315               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,990             |301               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,991             |310               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,992             |303               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,993             |302               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,994             |309               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,995             |386               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,996             |308               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,997             |307               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,998             |304               |      |BK_CORE  |false  |1   |
|api_sport|BK        |22,999             |305               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,000             |317               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,001             |389               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,003             |4                 |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,004             |5                 |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,005             |3                 |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,006             |212               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,007             |211               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,008             |215               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,009             |216               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,010             |207               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,011             |208               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,012             |209               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,013             |210               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,014             |214               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,015             |213               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,016             |181               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,017             |182               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,018             |189               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,019             |121               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,020             |183               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,021             |190               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,022             |217               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,023             |218               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,024             |7                 |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,025             |122               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,026             |111               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,027             |112               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,028             |23                |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,029             |24                |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,030             |374               |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,031             |25                |      |BK_CORE  |false  |1   |
|api_sport|BK        |23,032             |379               |      |BK_CORE  |false  |1   |
